Numero,Tiempo Recursion,Tiempo Recursion de Cola,Tiempo Iterativo
0,0.0,0.0,0.0
10,0.0,0.0,0.0
20,0.0,0.0,0.0
30,0.0,0.0,0.0
40,0.0,0.0,0.0
50,0.0,0.0,0.0
60,0.0,0.0,0.0
70,0.0,0.0,0.0
80,0.0,0.0,0.0
90,0.0,0.0,0.0
100,0.000982999802,0.0,0.0
110,0.005460977554,0.0,0.0
120,0.013310194016,0.0,0.0
130,0.028119564056,0.0,0.0
140,0.109929323196,0.0,0.0
150,0.466280698776,0.0,0.0
160,0.869884967804,0.0,0.0
170,3.032236337662,0.001004934311,0.0
180,13.315258979797,0.0,0.0
190,25.484878063202,0.0,0.0
200,101.66693353653,0.0,0.000989198685
210,384.206045866013,0.000974416733,0.0
